country_code,statisticalAreaCode,statisticalArea,year,share_service
FRA,FR10,Île de France,1900,0.454
FRA,FR21,Champagne-Ardenne,1900,0.219
FRA,FR22,Picardie,1900,0.225
FRA,FR23,Haute-Normandie,1900,0.261
FRA,FR24,Centre,1900,0.185
FRA,FR25,Basse-Normandie,1900,0.198
FRA,FR26,Bourgogne,1900,0.182
FRA,FR30,Nord - Pas-de-Calais,1900,0.22
FRA,FR41,Lorraine,1900,0.249
FRA,FR42,Alsace,1900,0.247
FRA,FR43,Franche-Comté,1900,0.169
FRA,FR51,Pays de la Loire,1900,0.167
FRA,FR52,Bretagne,1900,0.164
FRA,FR53,Poitou-Charentes,1900,0.167
FRA,FR61,Aquitaine,1900,0.179
FRA,FR62,Midi-Pyrénées,1900,0.157
FRA,FR63,Limousin,1900,0.126
FRA,FR71,Rhône-Alpes,1900,0.187
FRA,FR72,Auvergne,1900,0.145
FRA,FR81,Languedoc-Roussillon,1900,0.225
FRA,FR82,Provence-Alpes-Côte d'Azur,1900,0.333
FRA,FR83,Corse,1900,
DEU,DE11,"Stuttgart, Regierungsbezirk",1900,0.23
DEU,DE12,"Karlsruhe, Regierungsbezirk",1900,0.261
DEU,DE13,"Freiburg, Regierungsbezirk",1900,0.195
DEU,DE14,"Tübingen, Regierungsbezirk",1900,0.159
DEU,DE21,"Oberbayern, Regierungsbezirk",1900,0.313
DEU,DE22,"Niederbayern, Regierungsbezirk",1900,0.146
DEU,DE23,"Oberpfalz, Regierungsbezirk",1900,0.153
DEU,DE24,"Oberfranken, Regierungsbezirk",1900,0.166
DEU,DE25,"Mittelfranken, Regierungsbezirk",1900,0.227
DEU,DE26,"Unterfranken, Regierungsbezirk",1900,0.199
DEU,DE27,"Schwaben, Regierungsbezirk",1900,0.204
DEU,DE30,Berlin,1900,0.436
DEU,DE40,Brandenburg,1900,0.305
DEU,DE50,Bremen,1900,0.507
DEU,DE60,Hamburg,1900,0.578
DEU,DE71+DE72,Darmstadt and Giessen,1900,0.296
DEU,DE73,"Kassel, Regierungsbezirk",1900,0.231
DEU,DE80,Mecklenburg-Vorpommern,1900,0.271
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1900,0.266
DEU,DE93,Statistische Region Lüneburg,1900,0.2
DEU,DE94,Statistische Region Weser-Ems,1900,0.222
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1900,0.26
DEU,DEA2,"Köln, Regierungsbezirk",1900,0.29
DEU,DEA3,"Münster, Regierungsbezirk",1900,0.205
DEU,DEA4,"Detmold, Regierungsbezirk",1900,0.221
DEU,DEA5,"Arnsberg, Regierungsbezirk",1900,0.217
DEU,DEB1,Statistische Region Koblenz,1900,0.218
DEU,DEB2,Statistische Region Trier,1900,0.154
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1900,0.248
DEU,DEC0,Saarland,1900,0.21
DEU,DED2,"Dresden, NUTS 2-Region",1900,0.192
DEU,DED4,"Chemnitz, NUTS 2-Region",1900,0.276
DEU,DED5,"Leipzig, NUTS 2-Region",1900,0.324
DEU,DEE0,Sachsen-Anhalt,1900,0.247
DEU,DEF0,Schleswig-Holstein,1900,0.337
DEU,DEG0,Thüringen,1900,0.214
GBR,UKI,London Counties,1900,0.638
GBR,UKH+UKJ,Rest of SouthEast,1900,0.552
GBR,UKK,SouthWest,1900,0.498
GBR,UKG,West Midlands,1900,0.323
GBR,UKF,East  Midlands,1900,0.457
GBR,UKC+UKD,North,1900,0.41
GBR,UKE,Yorks  & Humberside,1900,0.364
GBR,UKL,Wales,1900,0.407
GBR,UKM,Scotland,1900,0.406
GBR,UKN,Northern Ireland,1900,0.296
FRA,FR10,Île de France,1910,0.406
FRA,FR21,Champagne-Ardenne,1910,0.187
FRA,FR22,Picardie,1910,0.216
FRA,FR23,Haute-Normandie,1910,0.196
FRA,FR24,Centre,1910,0.165
FRA,FR25,Basse-Normandie,1910,0.187
FRA,FR26,Bourgogne,1910,0.166
FRA,FR30,Nord - Pas-de-Calais,1910,0.201
FRA,FR41,Lorraine,1910,0.183
FRA,FR42,Alsace,1910,0.254
FRA,FR43,Franche-Comté,1910,0.158
FRA,FR51,Pays de la Loire,1910,0.16
FRA,FR52,Bretagne,1910,0.139
FRA,FR53,Poitou-Charentes,1910,0.127
FRA,FR61,Aquitaine,1910,0.162
FRA,FR62,Midi-Pyrénées,1910,0.135
FRA,FR63,Limousin,1910,0.116
FRA,FR71,Rhône-Alpes,1910,0.183
FRA,FR72,Auvergne,1910,0.142
FRA,FR81,Languedoc-Roussillon,1910,0.197
FRA,FR82,Provence-Alpes-Côte d'Azur,1910,0.284
FRA,FR83,Corse,1910,
DEU,DE11,"Stuttgart, Regierungsbezirk",1910,0.217
DEU,DE12,"Karlsruhe, Regierungsbezirk",1910,0.268
DEU,DE13,"Freiburg, Regierungsbezirk",1910,0.195
DEU,DE14,"Tübingen, Regierungsbezirk",1910,0.151
DEU,DE21,"Oberbayern, Regierungsbezirk",1910,0.325
DEU,DE22,"Niederbayern, Regierungsbezirk",1910,0.133
DEU,DE23,"Oberpfalz, Regierungsbezirk",1910,0.149
DEU,DE24,"Oberfranken, Regierungsbezirk",1910,0.163
DEU,DE25,"Mittelfranken, Regierungsbezirk",1910,0.224
DEU,DE26,"Unterfranken, Regierungsbezirk",1910,0.196
DEU,DE27,"Schwaben, Regierungsbezirk",1910,0.19
DEU,DE30,Berlin,1910,0.45
DEU,DE40,Brandenburg,1910,0.334
DEU,DE50,Bremen,1910,0.505
DEU,DE60,Hamburg,1910,0.569
DEU,DE71+DE72,Darmstadt and Giessen,1910,0.302
DEU,DE73,"Kassel, Regierungsbezirk",1910,0.218
DEU,DE80,Mecklenburg-Vorpommern,1910,0.274
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1910,0.261
DEU,DE93,Statistische Region Lüneburg,1910,0.186
DEU,DE94,Statistische Region Weser-Ems,1910,0.212
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1910,0.267
DEU,DEA2,"Köln, Regierungsbezirk",1910,0.294
DEU,DEA3,"Münster, Regierungsbezirk",1910,0.187
DEU,DEA4,"Detmold, Regierungsbezirk",1910,0.204
DEU,DEA5,"Arnsberg, Regierungsbezirk",1910,0.223
DEU,DEB1,Statistische Region Koblenz,1910,0.206
DEU,DEB2,Statistische Region Trier,1910,0.125
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1910,0.238
DEU,DEC0,Saarland,1910,0.227
DEU,DED2,"Dresden, NUTS 2-Region",1910,0.2
DEU,DED4,"Chemnitz, NUTS 2-Region",1910,0.293
DEU,DED5,"Leipzig, NUTS 2-Region",1910,0.329
DEU,DEE0,Sachsen-Anhalt,1910,0.242
DEU,DEF0,Schleswig-Holstein,1910,0.344
DEU,DEG0,Thüringen,1910,0.21
GBR,UKI,London Counties,1910,0.638
GBR,UKH+UKJ,Rest of SouthEast,1910,0.589
GBR,UKK,SouthWest,1910,0.517
GBR,UKG,West Midlands,1910,0.383
GBR,UKF,East  Midlands,1910,0.385
GBR,UKC+UKD,North,1910,0.412
GBR,UKE,Yorks  & Humberside,1910,0.373
GBR,UKL,Wales,1910,0.402
GBR,UKM,Scotland,1910,0.412
GBR,UKN,Northern Ireland,1910,0.326
FRA,FR10,Île de France,1925,0.463
FRA,FR21,Champagne-Ardenne,1925,0.247
FRA,FR22,Picardie,1925,0.243
FRA,FR23,Haute-Normandie,1925,0.295
FRA,FR24,Centre,1925,0.212
FRA,FR25,Basse-Normandie,1925,0.22
FRA,FR26,Bourgogne,1925,0.201
FRA,FR30,Nord - Pas-de-Calais,1925,0.212
FRA,FR41,Lorraine,1925,0.259
FRA,FR42,Alsace,1925,0.254
FRA,FR43,Franche-Comté,1925,0.194
FRA,FR51,Pays de la Loire,1925,0.188
FRA,FR52,Bretagne,1925,0.17
FRA,FR53,Poitou-Charentes,1925,0.174
FRA,FR61,Aquitaine,1925,0.196
FRA,FR62,Midi-Pyrénées,1925,0.162
FRA,FR63,Limousin,1925,0.129
FRA,FR71,Rhône-Alpes,1925,0.21
FRA,FR72,Auvergne,1925,0.161
FRA,FR81,Languedoc-Roussillon,1925,0.224
FRA,FR82,Provence-Alpes-Côte d'Azur,1925,0.474
FRA,FR83,Corse,1925,
DEU,DE11,"Stuttgart, Regierungsbezirk",1925,0.218
DEU,DE12,"Karlsruhe, Regierungsbezirk",1925,0.283
DEU,DE13,"Freiburg, Regierungsbezirk",1925,0.204
DEU,DE14,"Tübingen, Regierungsbezirk",1925,0.147
DEU,DE21,"Oberbayern, Regierungsbezirk",1925,0.34
DEU,DE22,"Niederbayern, Regierungsbezirk",1925,0.148
DEU,DE23,"Oberpfalz, Regierungsbezirk",1925,0.173
DEU,DE24,"Oberfranken, Regierungsbezirk",1925,0.165
DEU,DE25,"Mittelfranken, Regierungsbezirk",1925,0.243
DEU,DE26,"Unterfranken, Regierungsbezirk",1925,0.194
DEU,DE27,"Schwaben, Regierungsbezirk",1925,0.192
DEU,DE30,Berlin,1925,0.482
DEU,DE40,Brandenburg,1925,0.238
DEU,DE50,Bremen,1925,0.567
DEU,DE60,Hamburg,1925,0.602
DEU,DE71+DE72,Darmstadt and Giessen,1925,0.297
DEU,DE73,"Kassel, Regierungsbezirk",1925,0.238
DEU,DE80,Mecklenburg-Vorpommern,1925,0.297
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1925,0.279
DEU,DE93,Statistische Region Lüneburg,1925,0.181
DEU,DE94,Statistische Region Weser-Ems,1925,0.252
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1925,0.312
DEU,DEA2,"Köln, Regierungsbezirk",1925,0.347
DEU,DEA3,"Münster, Regierungsbezirk",1925,0.235
DEU,DEA4,"Detmold, Regierungsbezirk",1925,0.213
DEU,DEA5,"Arnsberg, Regierungsbezirk",1925,0.272
DEU,DEB1,Statistische Region Koblenz,1925,0.224
DEU,DEB2,Statistische Region Trier,1925,0.187
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1925,0.237
DEU,DEC0,Saarland,1925,0.275
DEU,DED2,"Dresden, NUTS 2-Region",1925,0.209
DEU,DED4,"Chemnitz, NUTS 2-Region",1925,0.277
DEU,DED5,"Leipzig, NUTS 2-Region",1925,0.332
DEU,DEE0,Sachsen-Anhalt,1925,0.255
DEU,DEF0,Schleswig-Holstein,1925,0.344
DEU,DEG0,Thüringen,1925,0.218
GBR,UKI,London Counties,1925,0.576
GBR,UKH+UKJ,Rest of SouthEast,1925,0.592
GBR,UKK,SouthWest,1925,0.507
GBR,UKG,West Midlands,1925,0.335
GBR,UKF,East  Midlands,1925,0.349
GBR,UKC+UKD,North,1925,0.393
GBR,UKE,Yorks  & Humberside,1925,0.35
GBR,UKL,Wales,1925,0.41
GBR,UKM,Scotland,1925,0.426
GBR,UKN,Northern Ireland,1925,0.343
FRA,FR10,Île de France,1938,0.569
FRA,FR21,Champagne-Ardenne,1938,0.371
FRA,FR22,Picardie,1938,0.36
FRA,FR23,Haute-Normandie,1938,0.405
FRA,FR24,Centre,1938,0.291
FRA,FR25,Basse-Normandie,1938,0.264
FRA,FR26,Bourgogne,1938,0.326
FRA,FR30,Nord - Pas-de-Calais,1938,0.309
FRA,FR41,Lorraine,1938,0.343
FRA,FR42,Alsace,1938,0.35
FRA,FR43,Franche-Comté,1938,0.252
FRA,FR51,Pays de la Loire,1938,0.258
FRA,FR52,Bretagne,1938,0.242
FRA,FR53,Poitou-Charentes,1938,0.282
FRA,FR61,Aquitaine,1938,0.326
FRA,FR62,Midi-Pyrénées,1938,0.265
FRA,FR63,Limousin,1938,0.228
FRA,FR71,Rhône-Alpes,1938,0.292
FRA,FR72,Auvergne,1938,0.245
FRA,FR81,Languedoc-Roussillon,1938,0.353
FRA,FR82,Provence-Alpes-Côte d'Azur,1938,0.382
FRA,FR83,Corse,1938,
DEU,DE11,"Stuttgart, Regierungsbezirk",1938,0.25
DEU,DE12,"Karlsruhe, Regierungsbezirk",1938,0.249
DEU,DE13,"Freiburg, Regierungsbezirk",1938,0.321
DEU,DE14,"Tübingen, Regierungsbezirk",1938,0.196
DEU,DE21,"Oberbayern, Regierungsbezirk",1938,0.401
DEU,DE22,"Niederbayern, Regierungsbezirk",1938,0.195
DEU,DE23,"Oberpfalz, Regierungsbezirk",1938,0.223
DEU,DE24,"Oberfranken, Regierungsbezirk",1938,0.21
DEU,DE25,"Mittelfranken, Regierungsbezirk",1938,0.291
DEU,DE26,"Unterfranken, Regierungsbezirk",1938,0.246
DEU,DE27,"Schwaben, Regierungsbezirk",1938,0.243
DEU,DE30,Berlin,1938,0.517
DEU,DE40,Brandenburg,1938,0.307
DEU,DE50,Bremen,1938,0.51
DEU,DE60,Hamburg,1938,0.59
DEU,DE71+DE72,Darmstadt and Giessen,1938,0.319
DEU,DE73,"Kassel, Regierungsbezirk",1938,0.262
DEU,DE80,Mecklenburg-Vorpommern,1938,0.343
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1938,0.34
DEU,DE93,Statistische Region Lüneburg,1938,0.236
DEU,DE94,Statistische Region Weser-Ems,1938,0.319
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1938,0.349
DEU,DEA2,"Köln, Regierungsbezirk",1938,0.388
DEU,DEA3,"Münster, Regierungsbezirk",1938,0.278
DEU,DEA4,"Detmold, Regierungsbezirk",1938,0.255
DEU,DEA5,"Arnsberg, Regierungsbezirk",1938,0.32
DEU,DEB1,Statistische Region Koblenz,1938,0.271
DEU,DEB2,Statistische Region Trier,1938,0.232
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1938,0.283
DEU,DEC0,Saarland,1938,0.331
DEU,DED2,"Dresden, NUTS 2-Region",1938,0.25
DEU,DED4,"Chemnitz, NUTS 2-Region",1938,0.331
DEU,DED5,"Leipzig, NUTS 2-Region",1938,0.383
DEU,DEE0,Sachsen-Anhalt,1938,0.296
DEU,DEF0,Schleswig-Holstein,1938,0.389
DEU,DEG0,Thüringen,1938,0.263
GBR,UKI,London Counties,1938,0.594
GBR,UKH+UKJ,Rest of SouthEast,1938,0.662
GBR,UKK,SouthWest,1938,0.611
GBR,UKG,West Midlands,1938,0.423
GBR,UKF,East  Midlands,1938,0.426
GBR,UKC+UKD,North,1938,0.524
GBR,UKE,Yorks  & Humberside,1938,0.45
GBR,UKL,Wales,1938,0.539
GBR,UKM,Scotland,1938,0.507
GBR,UKN,Northern Ireland,1938,0.343
FRA,FR10,Île de France,1950,0.515
FRA,FR21,Champagne-Ardenne,1950,0.326
FRA,FR22,Picardie,1950,0.314
FRA,FR23,Haute-Normandie,1950,0.377
FRA,FR24,Centre,1950,0.285
FRA,FR25,Basse-Normandie,1950,0.272
FRA,FR26,Bourgogne,1950,0.298
FRA,FR30,Nord - Pas-de-Calais,1950,0.294
FRA,FR41,Lorraine,1950,0.434
FRA,FR42,Alsace,1950,0.301
FRA,FR43,Franche-Comté,1950,0.25
FRA,FR51,Pays de la Loire,1950,0.271
FRA,FR52,Bretagne,1950,0.241
FRA,FR53,Poitou-Charentes,1950,0.274
FRA,FR61,Aquitaine,1950,0.289
FRA,FR62,Midi-Pyrénées,1950,0.234
FRA,FR63,Limousin,1950,0.218
FRA,FR71,Rhône-Alpes,1950,0.285
FRA,FR72,Auvergne,1950,0.255
FRA,FR81,Languedoc-Roussillon,1950,0.319
FRA,FR82,Provence-Alpes-Côte d'Azur,1950,0.476
FRA,FR83,Corse,1950,0.345
DEU,DE11,"Stuttgart, Regierungsbezirk",1950,0.291
DEU,DE12,"Karlsruhe, Regierungsbezirk",1950,0.348
DEU,DE13,"Freiburg, Regierungsbezirk",1950,0.281
DEU,DE14,"Tübingen, Regierungsbezirk",1950,0.218
DEU,DE21,"Oberbayern, Regierungsbezirk",1950,0.404
DEU,DE22,"Niederbayern, Regierungsbezirk",1950,0.215
DEU,DE23,"Oberpfalz, Regierungsbezirk",1950,0.256
DEU,DE24,"Oberfranken, Regierungsbezirk",1950,0.247
DEU,DE25,"Mittelfranken, Regierungsbezirk",1950,0.316
DEU,DE26,"Unterfranken, Regierungsbezirk",1950,0.257
DEU,DE27,"Schwaben, Regierungsbezirk",1950,0.266
DEU,DE30,Berlin,1950,0.49
DEU,DE40,Brandenburg,1950,0.296
DEU,DE50,Bremen,1950,0.548
DEU,DE60,Hamburg,1950,0.588
DEU,DE71+DE72,Darmstadt and Giessen,1950,0.373
DEU,DE73,"Kassel, Regierungsbezirk",1950,0.301
DEU,DE80,Mecklenburg-Vorpommern,1950,0.282
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1950,0.367
DEU,DE93,Statistische Region Lüneburg,1950,0.308
DEU,DE94,Statistische Region Weser-Ems,1950,0.311
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1950,0.356
DEU,DEA2,"Köln, Regierungsbezirk",1950,0.377
DEU,DEA3,"Münster, Regierungsbezirk",1950,0.282
DEU,DEA4,"Detmold, Regierungsbezirk",1950,0.315
DEU,DEA5,"Arnsberg, Regierungsbezirk",1950,0.317
DEU,DEB1,Statistische Region Koblenz,1950,0.293
DEU,DEB2,Statistische Region Trier,1950,0.238
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1950,0.288
DEU,DEC0,Saarland,1950,0.296
DEU,DED2,"Dresden, NUTS 2-Region",1950,0.316
DEU,DED4,"Chemnitz, NUTS 2-Region",1950,0.233
DEU,DED5,"Leipzig, NUTS 2-Region",1950,0.325
DEU,DEE0,Sachsen-Anhalt,1950,0.297
DEU,DEF0,Schleswig-Holstein,1950,0.395
DEU,DEG0,Thüringen,1950,0.271
GBR,UKI,London Counties,1950,0.581
GBR,UKH+UKJ,Rest of SouthEast,1950,0.537
GBR,UKK,SouthWest,1950,0.542
GBR,UKG,West Midlands,1950,0.36
GBR,UKF,East  Midlands,1950,0.373
GBR,UKC+UKD,North,1950,0.425
GBR,UKE,Yorks  & Humberside,1950,0.386
GBR,UKL,Wales,1950,0.439
GBR,UKM,Scotland,1950,0.445
GBR,UKN,Northern Ireland,1950,0.387
FRA,FR10,Île de France,1960,0.549
FRA,FR21,Champagne-Ardenne,1960,0.368
FRA,FR22,Picardie,1960,0.359
FRA,FR23,Haute-Normandie,1960,0.42
FRA,FR24,Centre,1960,0.355
FRA,FR25,Basse-Normandie,1960,0.328
FRA,FR26,Bourgogne,1960,0.364
FRA,FR30,Nord - Pas-de-Calais,1960,0.355
FRA,FR41,Lorraine,1960,0.396
FRA,FR42,Alsace,1960,0.381
FRA,FR43,Franche-Comté,1960,0.305
FRA,FR51,Pays de la Loire,1960,0.327
FRA,FR52,Bretagne,1960,0.316
FRA,FR53,Poitou-Charentes,1960,0.34
FRA,FR61,Aquitaine,1960,0.37
FRA,FR62,Midi-Pyrénées,1960,0.324
FRA,FR63,Limousin,1960,0.295
FRA,FR71,Rhône-Alpes,1960,0.355
FRA,FR72,Auvergne,1960,0.323
FRA,FR81,Languedoc-Roussillon,1960,0.403
FRA,FR82,Provence-Alpes-Côte d'Azur,1960,0.527
FRA,FR83,Corse,1960,0.437
DEU,DE11,"Stuttgart, Regierungsbezirk",1960,0.314
DEU,DE12,"Karlsruhe, Regierungsbezirk",1960,0.372
DEU,DE13,"Freiburg, Regierungsbezirk",1960,0.322
DEU,DE14,"Tübingen, Regierungsbezirk",1960,0.254
DEU,DE21,"Oberbayern, Regierungsbezirk",1960,0.438
DEU,DE22,"Niederbayern, Regierungsbezirk",1960,0.25
DEU,DE23,"Oberpfalz, Regierungsbezirk",1960,0.291
DEU,DE24,"Oberfranken, Regierungsbezirk",1960,0.266
DEU,DE25,"Mittelfranken, Regierungsbezirk",1960,0.337
DEU,DE26,"Unterfranken, Regierungsbezirk",1960,0.297
DEU,DE27,"Schwaben, Regierungsbezirk",1960,0.304
DEU,DE30,Berlin,1960,0.483
DEU,DE40,Brandenburg,1960,0.242
DEU,DE50,Bremen,1960,0.566
DEU,DE60,Hamburg,1960,0.59
DEU,DE71+DE72,Darmstadt and Giessen,1960,0.414
DEU,DE73,"Kassel, Regierungsbezirk",1960,0.349
DEU,DE80,Mecklenburg-Vorpommern,1960,0.272
DEU,DE91+DE92,Statistische Regionen Braunschweig und Hannover,1960,0.397
DEU,DE93,Statistische Region Lüneburg,1960,0.349
DEU,DE94,Statistische Region Weser-Ems,1960,0.361
DEU,DEA1,"Düsseldorf, Regierungsbezirk",1960,0.386
DEU,DEA2,"Köln, Regierungsbezirk",1960,0.428
DEU,DEA3,"Münster, Regierungsbezirk",1960,0.336
DEU,DEA4,"Detmold, Regierungsbezirk",1960,0.327
DEU,DEA5,"Arnsberg, Regierungsbezirk",1960,0.344
DEU,DEB1,Statistische Region Koblenz,1960,0.372
DEU,DEB2,Statistische Region Trier,1960,0.334
DEU,DEB3,Statistische Region Rheinhessen-Pfalz,1960,0.351
DEU,DEC0,Saarland,1960,0.374
DEU,DED2,"Dresden, NUTS 2-Region",1960,0.227
DEU,DED4,"Chemnitz, NUTS 2-Region",1960,0.184
DEU,DED5,"Leipzig, NUTS 2-Region",1960,0.242
DEU,DEE0,Sachsen-Anhalt,1960,0.223
DEU,DEF0,Schleswig-Holstein,1960,0.447
DEU,DEG0,Thüringen,1960,0.206
GBR,UKI,London Counties,1960,0.604
GBR,UKH+UKJ,Rest of SouthEast,1960,0.531
GBR,UKK,SouthWest,1960,0.556
GBR,UKG,West Midlands,1960,0.333
GBR,UKF,East  Midlands,1960,0.454
GBR,UKC+UKD,North,1960,0.444
GBR,UKE,Yorks  & Humberside,1960,0.408
GBR,UKL,Wales,1960,0.464
GBR,UKM,Scotland,1960,0.483
