origin_country_code,destination_country_code,comlang_ethno,colony,dist
DEU,ABW,0,0,8034.389
DEU,AFG,0,0,5226.514
DEU,AGO,0,0,6738.352
DEU,AIA,0,0,7065.73
DEU,ALB,0,0,1493.096
DEU,AND,0,0,1080.611
DEU,ANT,0,0,7992.204
DEU,ARE,0,0,5004.562
DEU,ARG,0,0,11512.14
DEU,ARM,0,0,3126.056
DEU,ATG,0,0,7071.959
DEU,AUS,0,0,16562.72
DEU,AUT,1,0,763.7314
DEU,AZE,0,0,3485.098
DEU,BDI,0,1,6459.994
DEU,BEL,1,0,196.8761
DEU,BEN,0,0,5032.831
DEU,BFA,0,0,4425.02
DEU,BGD,0,0,7530.185
DEU,BGR,0,0,1571.797
DEU,BHR,0,0,4610.664
DEU,BHS,0,0,7479.404
DEU,BIH,0,0,1202.42
DEU,BLR,0,0,1405.056
DEU,BLZ,0,0,8917.346
DEU,BMU,0,0,6050.847
DEU,BOL,0,0,10457.82
DEU,BRA,0,0,9847.663
DEU,BRB,0,0,7264.996
DEU,BRN,0,0,10811.99
DEU,BTN,0,0,7174.233
DEU,BWA,0,0,8683.136
DEU,CAF,0,0,5350.604
DEU,CAN,0,0,6160.559
DEU,CCK,0,0,11091.56
DEU,CHE,1,0,503.8007
DEU,CHL,0,0,12098.41
DEU,CHN,0,0,7785.342
DEU,CIV,0,0,5236.513
DEU,CMR,0,0,5316.503
DEU,COG,0,0,6248.905
DEU,COK,0,0,16474.39
DEU,COL,0,0,9062.736
DEU,COM,0,0,7847.916
DEU,CPV,0,0,4889.913
DEU,CRI,0,0,9221.746
DEU,CUB,0,0,7986.025
DEU,CXR,0,0,11526.17
DEU,CYM,0,0,8238.333
DEU,CYP,0,0,2776.08
DEU,CZE,0,0,545.6255
DEU,DEU,0,0,224.8358
DEU,DJI,0,0,5505.173
DEU,DMA,0,0,7196.926
DEU,DNK,0,0,595.8536
DEU,DOM,0,0,7507.384
DEU,DZA,0,0,1658.841
DEU,ECU,0,0,9724.277
DEU,EGY,0,0,3111.573
DEU,ERI,0,0,4919.472
DEU,ESH,0,0,3190.601
DEU,ESP,0,0,1479.332
DEU,EST,0,0,1421.076
DEU,ETH,0,0,5541.322
DEU,FIN,0,0,1474.956
DEU,FJI,0,0,16247.89
DEU,FLK,0,0,12991.32
DEU,FRA,0,0,439.8984
DEU,FRO,0,0,1436.932
DEU,FSM,0,1,12979.78
DEU,GAB,0,0,5690.174
DEU,GBR,0,0,495.3633
DEU,GEO,0,0,3049.704
DEU,GHA,0,0,5154.183
DEU,GIB,0,0,1967.273
DEU,GIN,0,0,5106.668
DEU,GLP,0,0,7161.309
DEU,GMB,0,0,4730.976
DEU,GNB,0,0,4858.305
DEU,GNQ,0,0,5313.557
DEU,GRC,0,0,1990.582
DEU,GRD,0,0,7499.045
DEU,GRL,0,0,3597.458
DEU,GTM,0,0,9256.591
DEU,GUF,0,0,7503.667
DEU,GUY,0,0,7722.085
DEU,HKG,0,0,9209.702
DEU,HND,0,0,9083.054
DEU,HRV,0,0,912.2662
DEU,HTI,0,0,7679.781
DEU,HUN,0,0,976.2567
DEU,IDN,0,0,11227.22
DEU,IND,0,0,6229.637
DEU,IRL,0,0,920.8693
DEU,IRN,0,0,3914.946
DEU,IRQ,0,0,3621.25
DEU,ISL,0,0,2189.024
DEU,ISR,0,0,3122.905
DEU,ITA,0,0,1146.023
DEU,JAM,0,0,8037.315
DEU,JOR,0,0,3202.998
DEU,JPN,0,0,9298.341
DEU,KAZ,0,0,5148.398
DEU,KEN,0,0,6509.792
DEU,KGZ,0,0,5016.011
DEU,KHM,0,0,9552.044
DEU,KIR,0,0,14008.35
DEU,KNA,0,0,7120.265
DEU,KOR,0,0,8543.784
DEU,KWT,0,0,4177.56
DEU,LAO,0,0,8842.204
DEU,LBN,0,0,3013.148
DEU,LBR,0,0,5283.326
DEU,LBY,0,0,2143.809
DEU,LCA,0,0,7279.451
DEU,LKA,0,0,8232.307
DEU,LSO,0,0,9212.81
DEU,LTU,0,0,1272.883
DEU,LUX,0,0,215.9864
DEU,LVA,0,0,1265.433
DEU,MAC,0,0,9172.872
DEU,MAR,0,0,2237.169
DEU,MDA,0,0,1656.772
DEU,MDG,0,0,8764.171
DEU,MDV,0,0,8042.136
DEU,MEX,0,0,9399.781
DEU,MHL,0,0,13337.16
DEU,MKD,0,0,1521.612
DEU,MLI,0,0,4524.183
DEU,MLT,0,0,1833.687
DEU,MMR,0,0,8508.293
DEU,MNG,0,0,6613.546
DEU,MNP,0,1,11608.55
DEU,MOZ,0,0,8975.49
DEU,MRT,0,0,4221.304
DEU,MSR,0,0,7135.144
DEU,MTQ,0,0,7236.228
DEU,MUS,0,0,9364.408
DEU,MWI,0,0,7732.286
DEU,MYS,0,0,10070.46
DEU,NAM,0,1,8299.138
DEU,NCL,0,0,16333.24
DEU,NER,0,0,4244.892
DEU,NFK,0,0,17081.25
DEU,NGA,0,0,5020.854
DEU,NIC,0,0,9191.415
DEU,NIU,0,0,16411.93
DEU,NLD,0,0,173.5239
DEU,NOR,0,0,969.2816
DEU,NPL,0,0,6859.421
DEU,NRU,0,1,14060.19
DEU,NZL,0,0,18824.75
DEU,OMN,0,0,5356.058
DEU,PAK,0,0,5560.783
DEU,PAL,0,0,3152.752
DEU,PAN,0,0,8995.78
DEU,PCN,0,0,15372.79
DEU,PER,0,0,10659.87
DEU,PHL,0,0,10320.74
DEU,PLW,0,1,11802.05
DEU,PNG,0,1,14126.12
DEU,POL,0,1,965.9211
DEU,PRI,0,0,7259.144
DEU,PRK,0,0,8345.919
DEU,PRT,0,0,1892.032
DEU,PRY,0,0,10607.28
DEU,PYF,0,0,15728.52
DEU,QAT,0,0,4749.67
DEU,REU,0,0,9331.957
DEU,ROM,0,0,1621.217
DEU,RUS,0,0,2065.183
DEU,RWA,0,1,6330.884
DEU,SAU,0,0,4498.257
DEU,SDN,0,0,4597.51
DEU,SEN,0,0,4643.462
DEU,SGP,0,0,10380.27
DEU,SHN,0,0,7600.403
DEU,SLB,0,0,14750.74
DEU,SLE,0,0,5129.104
DEU,SLV,0,0,9249.982
DEU,SMR,0,0,932.1286
DEU,SOM,0,0,6560.357
DEU,SPM,0,0,4491.204
DEU,STP,0,0,5706.03
DEU,SUR,0,0,7608.084
DEU,SVK,0,0,817.4212
DEU,SVN,0,0,814.8665
DEU,SWE,0,0,1118.929
DEU,SWZ,0,0,8976.361
DEU,SYC,0,0,7747.706
DEU,SYR,0,0,3093.486
DEU,TCA,0,0,7353.279
DEU,TCD,0,0,4433.432
DEU,TGO,0,0,5068.667
DEU,THA,0,0,9065.879
DEU,TJK,0,0,4910.893
DEU,TKL,0,0,15306.4
DEU,TKM,0,0,4234.307
DEU,TMP,0,0,12720.83
DEU,TON,0,0,16654.11
DEU,TTO,0,0,7608.62
DEU,TUN,0,0,1648.635
DEU,TUR,0,0,2038.332
DEU,TUV,0,0,15198.79
DEU,TWN,0,0,9396.126
DEU,TZA,0,0,7186.556
DEU,UGA,0,0,6177.539
DEU,UKR,0,0,1646.271
DEU,URY,0,0,11412.01
DEU,USA,0,0,6035.334
DEU,UZB,0,0,4760.258
DEU,VCT,0,0,7366.903
DEU,VEN,0,0,7984.647
DEU,VGB,0,0,7153.428
DEU,VNM,0,0,8793.074
DEU,VUT,0,0,15935.85
DEU,WLF,0,0,15776.26
DEU,WSM,0,1,15624.47
DEU,YEM,0,0,5197.778
DEU,YUG,0,0,1242.842
DEU,ZAF,0,0,9571.156
DEU,ZAR,0,0,6257.081
DEU,ZMB,0,0,7730.947
DEU,ZWE,0,0,8061.094
FRA,ABW,0,0,7685.884
FRA,AFG,0,0,5590.381
FRA,AGO,0,0,6510.322
FRA,AIA,0,0,6710.57
FRA,ALB,0,0,1603.534
FRA,AND,0,0,711.5485
FRA,ANT,0,0,7638.026
FRA,ARE,0,0,5249.535
FRA,ARG,0,0,11072.25
FRA,ARM,0,0,3434.071
FRA,ATG,0,0,6708.77
FRA,AUS,0,0,16975.46
FRA,AUT,0,0,1035.144
FRA,AZE,0,0,3817.547
FRA,BDI,1,0,6371.986
FRA,BEL,1,0,262.3845
FRA,BEN,1,1,4726.537
FRA,BFA,1,1,4082.87
FRA,BGD,0,0,7916.79
FRA,BGR,0,0,1760.707
FRA,BHR,0,0,4843.391
FRA,BHS,0,0,7209.45
FRA,BIH,0,0,1352.463
FRA,BLR,0,0,1823.709
FRA,BLZ,0,0,8664.439
FRA,BMU,0,0,5764.324
FRA,BOL,0,0,10038.45
FRA,BRA,0,0,9408.406
FRA,BRB,0,0,6882.34
FRA,BRN,0,0,11219.33
FRA,BTN,0,0,7569.353
FRA,BWA,0,0,8522.764
FRA,CAF,1,1,5186.042
FRA,CAN,1,1,6004.645
FRA,CCK,0,0,11388.36
FRA,CHE,1,0,436.0778
FRA,CHL,0,0,11663.39
FRA,CHN,0,0,8225.232
FRA,CIV,1,1,4884.159
FRA,CMR,1,1,5085.718
FRA,COG,1,1,6041.018
FRA,COK,0,0,16568.87
FRA,COL,0,0,8707.677
FRA,COM,1,1,7842.67
FRA,CPV,0,0,4452.386
FRA,CRI,0,0,8919.449
FRA,CUB,0,0,7729.485
FRA,CXR,0,0,11866.1
FRA,CYM,0,0,7960.709
FRA,CYP,0,0,2954.551
FRA,CZE,0,0,884.6105
FRA,DEU,0,0,439.8984
FRA,DJI,1,1,5595.459
FRA,DMA,0,0,6826.396
FRA,DNK,0,0,1027.609
FRA,DOM,0,1,7178.52
FRA,DZA,1,1,1340.39
FRA,ECU,0,0,9367.098
FRA,EGY,0,0,3215.215
FRA,ERI,0,0,4993.154
FRA,ESH,0,0,2759.848
FRA,ESP,0,0,1054.656
FRA,EST,0,0,1859.091
FRA,ETH,0,0,5582.502
FRA,FIN,0,0,1911.138
FRA,FJI,0,0,16595.08
FRA,FLK,0,0,12560.39
FRA,FRA,0,0,278.1876
FRA,FRO,0,0,1568.769
FRA,FSM,0,0,13396.33
FRA,GAB,1,1,5438.787
FRA,GBR,0,0,342.9475
FRA,GEO,0,0,3373.349
FRA,GHA,0,0,4827.292
FRA,GIB,0,0,1549.175
FRA,GIN,1,1,4691.556
FRA,GLP,1,1,6794.139
FRA,GMB,0,0,4308.25
FRA,GNB,0,0,4440.633
FRA,GNQ,0,0,5058.926
FRA,GRC,0,0,2098.726
FRA,GRD,0,0,7120.287
FRA,GRL,0,0,3584.681
FRA,GTM,0,0,9001.048
FRA,GUF,1,1,7084.598
FRA,GUY,0,0,7320.075
FRA,HKG,0,0,9639.476
FRA,HND,0,0,8810.234
FRA,HRV,0,0,1081.762
FRA,HTI,0,0,7361.197
FRA,HUN,0,0,1247.24
FRA,IDN,0,0,11584.25
FRA,IND,0,0,6594.23
FRA,IRL,0,0,778.2031
FRA,IRN,0,0,4218.442
FRA,IRQ,0,0,3867.434
FRA,ISL,0,0,2234.723
FRA,ISR,1,0,3281.899
FRA,ITA,0,0,1109.901
FRA,JAM,0,0,7734.696
FRA,JOR,0,0,3371.398
FRA,JPN,0,0,9725.629
FRA,KAZ,0,0,5561.785
FRA,KEN,0,0,6491.402
FRA,KGZ,0,0,5424.702
FRA,KHM,0,1,9947.79
FRA,KIR,0,0,14371.47
FRA,KNA,0,0,6760.687
FRA,KOR,0,0,8981.467
FRA,KWT,0,0,4415.222
FRA,LAO,0,1,9245.57
FRA,LBN,1,1,3197.032
FRA,LBR,0,1,4892.298
FRA,LBY,0,0,2007.716
FRA,LCA,0,0,6903.772
FRA,LKA,0,0,8526.015
FRA,LSO,0,0,9054.14
FRA,LTU,0,0,1700.296
FRA,LUX,0,0,289.1023
FRA,LVA,0,0,1704.598
FRA,MAC,0,0,9601.923
FRA,MAR,1,1,1816.853
FRA,MDA,0,0,1976.854
FRA,MDG,1,1,8763.332
FRA,MDV,0,0,8294.178
FRA,MEX,0,0,9206.813
FRA,MHL,0,0,13705.24
FRA,MKD,0,0,1672.04
FRA,MLI,0,1,4139.756
FRA,MLT,0,0,1752.693
FRA,MMR,0,0,8892.726
FRA,MNG,0,0,7053.423
FRA,MNP,0,0,12042.09
FRA,MOZ,0,0,8855.655
FRA,MRT,0,1,3794.96
FRA,MSR,0,0,6771.885
FRA,MTQ,1,1,6862.589
FRA,MUS,1,0,9422.744
FRA,MWI,0,0,7650.657
FRA,MYS,0,0,10436.4
FRA,NAM,0,0,8084.97
FRA,NCL,1,1,16757.74
FRA,NER,1,1,3932.638
FRA,NFK,0,0,17511.67
FRA,NGA,0,0,4722.149
FRA,NIC,0,0,8906.699
FRA,NIU,0,0,16639.5
FRA,NLD,0,0,427.9169
FRA,NOR,0,0,1342.89
FRA,NPL,0,0,7244.016
FRA,NRU,0,0,14455.09
FRA,NZL,0,0,19263.88
FRA,OMN,0,0,5620.005
FRA,PAK,0,0,5932.586
FRA,PAL,0,0,3303.196
FRA,PAN,0,0,8671.104
FRA,PCN,0,0,15152.12
FRA,PER,0,0,10268.11
FRA,PHL,0,0,10751.64
FRA,PLW,0,0,12240.69
FRA,PNG,0,0,14565.84
FRA,POL,0,0,1368.178
FRA,PRI,0,0,6916.064
FRA,PRK,0,0,8783.568
FRA,PRT,0,0,1452.86
FRA,PRY,0,0,10168.73
FRA,PYF,1,1,15724.43
FRA,QAT,0,0,4981.916
FRA,REU,1,1,9374.991
FRA,ROM,0,0,1875.018
FRA,RUS,0,0,2494.316
FRA,RWA,1,0,6253.41
FRA,SAU,0,0,4694.5
FRA,SDN,0,0,4612.387
FRA,SEN,1,1,4217.159
FRA,SGP,0,0,10748.26
FRA,SHN,0,0,7254.018
FRA,SLB,0,0,15178.2
FRA,SLE,0,0,4724.351
FRA,SLV,0,0,8984.298
FRA,SMR,0,0,951.0759
FRA,SOM,0,0,6623.439
FRA,SPM,1,1,4273.723
FRA,STP,0,0,5432.882
FRA,SUR,0,0,7196.987
FRA,SVK,0,0,1094.61
FRA,SVN,0,0,965.7366
FRA,SWE,0,0,1545.797
FRA,SWZ,0,0,8846.426
FRA,SYC,1,1,7855.244
FRA,SYR,0,1,3280.692
FRA,TCA,0,0,7041.488
FRA,TCD,0,1,4248.435
FRA,TGO,1,1,4753.381
FRA,THA,0,0,9454.805
FRA,TJK,0,0,5291.823
FRA,TKL,0,0,15565.23
FRA,TKM,0,0,4581.08
FRA,TMP,0,0,13128.84
FRA,TON,0,0,16941.44
FRA,TTO,0,0,7225.325
FRA,TUN,0,1,1483.828
FRA,TUR,0,0,2255.81
FRA,TUV,0,0,15531.51
FRA,TWN,0,0,9834.232
FRA,TZA,0,0,7168.277
FRA,UGA,0,0,6128.938
FRA,UKR,0,0,2025.144
FRA,URY,0,0,10972.42
FRA,USA,0,1,5838.157
FRA,UZB,0,0,5153.064
FRA,VCT,0,0,6989.701
FRA,VEN,0,0,7618.86
FRA,VGB,0,0,6804.749
FRA,VNM,0,1,9208.554
FRA,VUT,1,1,16346.35
FRA,WLF,1,1,16073.01
FRA,WSM,0,0,16011.92
FRA,YEM,0,0,5317.261
FRA,YUG,0,0,1449.718
FRA,ZAF,0,0,9353.552
FRA,ZAR,1,0,6049.656
