statisticalAreaCode,statisticalArea,year,population
FRK21,Ain,1876,358298.0
FRE21,Aisne,1876,559242.0
FRK11,Allier,1876,405783.0
FRL01,Alpes-de-Haute-Provence,1876,136166.0
FRL02,Hautes-Alpes,1876,119094.0
FRL03,Alpes-Maritimes,1876,208324.0
FRK22,Ardèche,1876,384378.0
FRF21,Ardennes,1876,326782.0
FRJ21,Ariège,1876,244795.0
FRF22,Aube,1876,255217.0
FRJ11,Aude,1876,300065.0
FRJ22,Aveyron,1876,413826.0
FRL04,Bouches-du-Rhône,1876,556378.0
FRD11,Calvados,1876,448985.0
FRK12,Cantal,1876,231086.0
FRI31,Charente,1876,373950.0
FRI32,Charente-Maritime,1876,465628.0
FRB01,Cher,1876,345613.0
FRI21,Corrèze,1876,311439.0
FRC11,Côte-dOr,1876,377663.0
FRH01,Côtes-dArmor,1876,631509.0
FRI22,Creuse,1876,278423.0
FRI11,Dordogne,1876,489848.0
FRC21,Doubs,1876,306211.0
FRK23,Drôme,1876,321749.0
FRD21,Eure,1876,373629.0
FRB02,Eure-et-Loir,1876,282830.0
FRH02,Finistère,1876,666065.0
FRM01,Corse-du-Sud,1876,
FRM02,Haute-Corse,1876,
FRJ12,Gard,1876,423804.0
FRJ23,Haute-Garonne,1876,477730.0
FRJ24,Gers,1876,283546.0
FRI12,Gironde,1876,735242.0
FRJ13,Hérault,1876,445053.0
FRH03,Ille-et-Vilaine,1876,602713.0
FRB03,Indre,1876,281248.0
FRB04,Indre-et-Loire,1876,324875.0
FRK24,Isère,1876,555191.0
FRC22,Jura,1876,288721.0
FRI13,Landes,1876,303508.0
FRB05,Loir-et-Cher,1876,272634.0
FRK25,Loire,1876,590613.0
FRK13,Haute-Loire,1876,313721.0
FRG01,Loire-Atlantique,1876,614167.0
FRB06,Loiret,1876,360903.0
FRJ25,Lot,1876,276511.0
FRI14,Lot-et-Garonne,1876,316920.0
FRJ14,Lozère,1876,138101.0
FRG02,Maine-et-Loire,1876,516835.0
FRD12,Manche,1876,541160.0
FRF23,Marne,1876,407574.0
FRF24,Haute-Marne,1876,252280.0
FRG03,Mayenne,1876,351933.0
FRF31,Meurthe-et-Moselle,1876,404849.0
FRF32,Meuse,1876,293814.0
FRH04,Morbihan,1876,506572.0
FRF33,Moselle,1876,479997.0
FRC12,Nièvre,1876,346822.0
FRE11,Nord,1876,1520183.0
FRE22,Oise,1876,401618.0
FRD13,Orne,1876,392411.0
FRE12,Pas-de-Calais,1876,794518.0
FRK14,Puy-de-Dôme,1876,570208.0
FRI15,Pyrénées-Atlantiques,1876,431527.0
FRJ26,Hautes-Pyrénées,1876,238037.0
FRJ15,Pyrénées-Orientales,1876,197930.0
FRF11,Bas-Rhin,1876,598180.0
FRF12,Haut-Rhin,1876,453374.0
FRK26,Rhône,1876,738024.0
FRC23,Haute-Saône,1876,304524.0
FRC13,Saône-et-Loire,1876,614309.0
FRG04,Sarthe,1876,446239.0
FRK27,Savoie,1876,268361.0
FRK28,Haute-Savoie,1876,273801.0
FR101,Paris,1876,1990806.0
FRD22,Seine-Maritime,1876,798414.0
FR102,Seine-et-Marne,1876,347323.0
FR103,Yvelines,1876,235511.0
FRI33,Deux-Sèvres,1876,335884.0
FRE23,Somme,1876,555263.0
FRJ27,Tarn,1876,359232.0
FRJ28,Tarn-et-Garonne,1876,221364.0
FRL05,Var,1876,295762.0
FRL06,Vaucluse,1876,255703.0
FRG05,Vendée,1876,411781.0
FRI34,Vienne,1876,330916.0
FRI23,Haute-Vienne,1876,336061.0
FRF34,Vosges,1876,407082.0
FRC14,Yonne,1876,359070.0
FRC24,Territoire de Belfort,1876,61377.0
FR104,Essonne,1876,135919.0
FR105,Hauts-de-Seine,1876,208482.0
FR106,Seine-Saint-Denis,1876,138099.0
FR107,Val-de-Marne,1876,136600.0
FR108,Val-dOise,1876,129655.0
FRY10,Guadeloupe,1876,
FRY20,Martinique,1876,
FRY30,Guyane,1876,
FRY40,La Réunion,1876,
FRK21,Ain,1881,356980.0
FRE21,Aisne,1881,556284.0
FRK11,Allier,1881,416759.0
FRL01,Alpes-de-Haute-Provence,1881,131899.0
FRL02,Hautes-Alpes,1881,121787.0
FRL03,Alpes-Maritimes,1881,230854.0
FRK22,Ardèche,1881,376907.0
FRF21,Ardennes,1881,333675.0
FRJ21,Ariège,1881,240601.0
FRF22,Aube,1881,255326.0
FRJ11,Aude,1881,327988.0
FRJ22,Aveyron,1881,415075.0
FRL04,Bouches-du-Rhône,1881,589027.0
FRD11,Calvados,1881,438583.0
FRK12,Cantal,1881,236190.0
FRI31,Charente,1881,370822.0
FRI32,Charente-Maritime,1881,466416.0
FRB01,Cher,1881,351405.0
FRI21,Corrèze,1881,316977.0
FRC11,Côte-dOr,1881,382819.0
FRH01,Côtes-dArmor,1881,627585.0
FRI22,Creuse,1881,278782.0
FRI11,Dordogne,1881,495037.0
FRC21,Doubs,1881,310915.0
FRK23,Drôme,1881,313763.0
FRD21,Eure,1881,364291.0
FRB02,Eure-et-Loir,1881,279877.0
FRH02,Finistère,1881,681234.0
FRM01,Corse-du-Sud,1881,
FRM02,Haute-Corse,1881,
FRJ12,Gard,1881,415629.0
FRJ23,Haute-Garonne,1881,478009.0
FRJ24,Gers,1881,281532.0
FRI12,Gironde,1881,748703.0
FRJ13,Hérault,1881,441527.0
FRH03,Ille-et-Vilaine,1881,615480.0
FRB03,Indre,1881,287759.0
FRB04,Indre-et-Loire,1881,329160.0
FRK24,Isère,1881,555438.0
FRC22,Jura,1881,285175.0
FRI13,Landes,1881,301143.0
FRB05,Loir-et-Cher,1881,275713.0
FRK25,Loire,1881,599837.0
FRK13,Haute-Loire,1881,316461.0
FRG01,Loire-Atlantique,1881,626818.0
FRB06,Loiret,1881,368526.0
FRJ25,Lot,1881,280271.0
FRI14,Lot-et-Garonne,1881,312083.0
FRJ14,Lozère,1881,143566.0
FRG02,Maine-et-Loire,1881,523057.0
FRD12,Manche,1881,527639.0
FRF23,Marne,1881,421590.0
FRF24,Haute-Marne,1881,254722.0
FRG03,Mayenne,1881,344881.0
FRF31,Meurthe-et-Moselle,1881,419514.0
FRF32,Meuse,1881,289632.0
FRH04,Morbihan,1881,521614.0
FRF33,Moselle,1881,492464.0
FRC12,Nièvre,1881,347576.0
FRE11,Nord,1881,1603774.0
FRE22,Oise,1881,404555.0
FRD13,Orne,1881,376111.0
FRE12,Pas-de-Calais,1881,820344.0
FRK14,Puy-de-Dôme,1881,566064.0
FRI15,Pyrénées-Atlantiques,1881,434366.0
FRJ26,Hautes-Pyrénées,1881,236474.0
FRJ15,Pyrénées-Orientales,1881,208855.0
FRF11,Bas-Rhin,1881,612012.0
FRF12,Haut-Rhin,1881,461942.0
FRK26,Rhône,1881,772795.0
FRC23,Haute-Saône,1881,296361.0
FRC13,Saône-et-Loire,1881,625589.0
FRG04,Sarthe,1881,438917.0
FRK27,Savoie,1881,266438.0
FRK28,Haute-Savoie,1881,274087.0
FR101,Paris,1881,2269023.0
FRD22,Seine-Maritime,1881,814068.0
FR102,Seine-et-Marne,1881,348991.0
FR103,Yvelines,1881,236471.0
FRI33,Deux-Sèvres,1881,349345.0
FRE23,Somme,1881,549515.0
FRJ27,Tarn,1881,359223.0
FRJ28,Tarn-et-Garonne,1881,217056.0
FRL05,Var,1881,288577.0
FRL06,Vaucluse,1881,244149.0
FRG05,Vendée,1881,421642.0
FRI34,Vienne,1881,340295.0
FRI23,Haute-Vienne,1881,349332.0
FRF34,Vosges,1881,406862.0
FRC14,Yonne,1881,357029.0
FRC24,Territoire de Belfort,1881,74244.0
FR104,Essonne,1881,140035.0
FR105,Hauts-de-Seine,1881,254928.0
FR106,Seine-Saint-Denis,1881,180412.0
FR107,Val-de-Marne,1881,161607.0
FR108,Val-dOise,1881,134859.0
FRY10,Guadeloupe,1881,
FRY20,Martinique,1881,
FRY30,Guyane,1881,
FRY40,La Réunion,1881,
FRK21,Ain,1886,357207.0
FRE21,Aisne,1886,555436.0
FRK11,Allier,1886,424582.0
FRL01,Alpes-de-Haute-Provence,1886,129494.0
FRL02,Hautes-Alpes,1886,122924.0
FRL03,Alpes-Maritimes,1886,241810.0
FRK22,Ardèche,1886,375472.0
FRF21,Ardennes,1886,332759.0
FRJ21,Ariège,1886,237619.0
FRF22,Aube,1886,257374.0
FRJ11,Aude,1886,332080.0
FRJ22,Aveyron,1886,415826.0
FRL04,Bouches-du-Rhône,1886,604857.0
FRD11,Calvados,1886,436115.0
FRK12,Cantal,1886,241742.0
FRI31,Charente,1886,366408.0
FRI32,Charente-Maritime,1886,462803.0
FRB01,Cher,1886,355349.0
FRI21,Corrèze,1886,326400.0
FRC11,Côte-dOr,1886,381574.0
FRH01,Côtes-dArmor,1886,628256.0
FRI22,Creuse,1886,284942.0
FRI11,Dordogne,1886,492205.0
FRC21,Doubs,1886,311076.0
FRK23,Drôme,1886,314615.0
FRD21,Eure,1886,358829.0
FRB02,Eure-et-Loir,1886,283491.0
FRH02,Finistère,1886,707821.0
FRM01,Corse-du-Sud,1886,
FRM02,Haute-Corse,1886,
FRJ12,Gard,1886,417099.0
FRJ23,Haute-Garonne,1886,481170.0
FRJ24,Gers,1886,274391.0
FRI12,Gironde,1886,775845.0
FRJ13,Hérault,1886,439044.0
FRH03,Ille-et-Vilaine,1886,621384.0
FRB03,Indre,1886,296147.0
FRB04,Indre-et-Loire,1886,340921.0
FRK24,Isère,1886,555845.0
FRC22,Jura,1886,281179.0
FRI13,Landes,1886,302266.0
FRB05,Loir-et-Cher,1886,279214.0
FRK25,Loire,1886,603384.0
FRK13,Haute-Loire,1886,320063.0
FRG01,Loire-Atlantique,1886,645220.0
FRB06,Loiret,1886,374875.0
FRJ25,Lot,1886,271513.0
FRI14,Lot-et-Garonne,1886,307437.0
FRJ14,Lozère,1886,141264.0
FRG02,Maine-et-Loire,1886,527122.0
FRD12,Manche,1886,522032.0
FRF23,Marne,1886,429322.0
FRF24,Haute-Marne,1886,247611.0
FRG03,Mayenne,1886,340063.0
FRF31,Meurthe-et-Moselle,1886,431946.0
FRF32,Meuse,1886,291718.0
FRH04,Morbihan,1886,535254.0
FRF33,Moselle,1886,489476.0
FRC12,Nièvre,1886,347645.0
FRE11,Nord,1886,1670668.0
FRE22,Oise,1886,403086.0
FRD13,Orne,1886,367233.0
FRE12,Pas-de-Calais,1886,854787.0
FRK14,Puy-de-Dôme,1886,570964.0
FRI15,Pyrénées-Atlantiques,1886,432999.0
FRJ26,Hautes-Pyrénées,1886,234825.0
FRJ15,Pyrénées-Orientales,1886,211187.0
FRF11,Bas-Rhin,1886,612077.0
FRF12,Haut-Rhin,1886,462549.0
FRK26,Rhône,1886,806248.0
FRC23,Haute-Saône,1886,291401.0
FRC13,Saône-et-Loire,1886,625885.0
FRG04,Sarthe,1886,436111.0
FRK27,Savoie,1886,267428.0
FRK28,Haute-Savoie,1886,275018.0
FR101,Paris,1886,2344550.0
FRD22,Seine-Maritime,1886,833386.0
FR102,Seine-et-Marne,1886,355136.0
FR103,Yvelines,1886,247910.0
FRI33,Deux-Sèvres,1886,352988.0
FRE23,Somme,1886,547721.0
FRJ27,Tarn,1886,358757.0
FRJ28,Tarn-et-Garonne,1886,214046.0
FRL05,Var,1886,283689.0
FRL06,Vaucluse,1886,241787.0
FRG05,Vendée,1886,434809.0
FRI34,Vienne,1886,342785.0
FRI23,Haute-Vienne,1886,363182.0
FRF34,Vosges,1886,413707.0
FRC14,Yonne,1886,355364.0
FRC24,Territoire de Belfort,1886,79758.0
FR104,Essonne,1886,147693.0
FR105,Hauts-de-Seine,1886,293386.0
FR106,Seine-Saint-Denis,1886,207901.0
FR107,Val-de-Marne,1886,194926.0
FR108,Val-dOise,1886,143028.0
FRY10,Guadeloupe,1886,
FRY20,Martinique,1886,
FRY30,Guyane,1886,
FRY40,La Réunion,1886,
FRK21,Ain,1891,350841.0
FRE21,Aisne,1891,544919.0
FRK11,Allier,1891,424382.0
FRL01,Alpes-de-Haute-Provence,1891,124285.0
FRL02,Hautes-Alpes,1891,115522.0
FRL03,Alpes-Maritimes,1891,261837.0
FRK22,Ardèche,1891,371269.0
FRF21,Ardennes,1891,324923.0
FRJ21,Ariège,1891,227491.0
FRF22,Aube,1891,255548.0
FRJ11,Aude,1891,317372.0
FRJ22,Aveyron,1891,400467.0
FRL04,Bouches-du-Rhône,1891,630622.0
FRD11,Calvados,1891,427796.0
FRK12,Cantal,1891,239601.0
FRI31,Charente,1891,360259.0
FRI32,Charente-Maritime,1891,456202.0
FRB01,Cher,1891,359276.0
FRI21,Corrèze,1891,328022.0
FRC11,Côte-dOr,1891,376866.0
FRH01,Côtes-dArmor,1891,618734.0
FRI22,Creuse,1891,284633.0
FRI11,Dordogne,1891,478480.0
FRC21,Doubs,1891,303176.0
FRK23,Drôme,1891,306419.0
FRD21,Eure,1891,349471.0
FRB02,Eure-et-Loir,1891,284452.0
FRH02,Finistère,1891,727013.0
FRM01,Corse-du-Sud,1891,
FRM02,Haute-Corse,1891,
FRJ12,Gard,1891,419388.0
FRJ23,Haute-Garonne,1891,472383.0
FRJ24,Gers,1891,261084.0
FRI12,Gironde,1891,793528.0
FRJ13,Hérault,1891,461651.0
FRH03,Ille-et-Vilaine,1891,626875.0
FRB03,Indre,1891,292868.0
FRB04,Indre-et-Loire,1891,337298.0
FRK24,Isère,1891,547425.0
FRC22,Jura,1891,272933.0
FRI13,Landes,1891,297842.0
FRB05,Loir-et-Cher,1891,280358.0
FRK25,Loire,1891,616227.0
FRK13,Haute-Loire,1891,316735.0
FRG01,Loire-Atlantique,1891,646570.0
FRB06,Loiret,1891,377718.0
FRJ25,Lot,1891,253884.0
FRI14,Lot-et-Garonne,1891,295360.0
FRJ14,Lozère,1891,135527.0
FRG02,Maine-et-Loire,1891,518075.0
FRD12,Manche,1891,514979.0
FRF23,Marne,1891,434579.0
FRF24,Haute-Marne,1891,243322.0
FRG03,Mayenne,1891,332387.0
FRF31,Meurthe-et-Moselle,1891,444389.0
FRF32,Meuse,1891,292014.0
FRH04,Morbihan,1891,544470.0
FRF33,Moselle,1891,510136.0
FRC12,Nièvre,1891,343581.0
FRE11,Nord,1891,1736795.0
FRE22,Oise,1891,401835.0
FRD13,Orne,1891,354372.0
FRE12,Pas-de-Calais,1891,875494.0
FRK14,Puy-de-Dôme,1891,564266.0
FRI15,Pyrénées-Atlantiques,1891,425027.0
FRJ26,Hautes-Pyrénées,1891,225861.0
FRJ15,Pyrénées-Orientales,1891,210125.0
FRF11,Bas-Rhin,1891,621505.0
FRF12,Haut-Rhin,1891,471609.0
FRK26,Rhône,1891,837524.0
FRC23,Haute-Saône,1891,281300.0
FRC13,Saône-et-Loire,1891,618523.0
FRG04,Sarthe,1891,429737.0
FRK27,Savoie,1891,263297.0
FRK28,Haute-Savoie,1891,268267.0
FR101,Paris,1891,2447957.0
FRD22,Seine-Maritime,1891,839876.0
FR102,Seine-et-Marne,1891,356709.0
FR103,Yvelines,1891,250552.0
FRI33,Deux-Sèvres,1891,353489.0
FRE23,Somme,1891,545365.0
FRJ27,Tarn,1891,346739.0
FRJ28,Tarn-et-Garonne,1891,206596.0
FRL05,Var,1891,288336.0
FRL06,Vaucluse,1891,235411.0
FRG05,Vendée,1891,442354.0
FRI34,Vienne,1891,344355.0
FRI23,Haute-Vienne,1891,372878.0
FRF34,Vosges,1891,410196.0
FRC14,Yonne,1891,344688.0
FRC24,Territoire de Belfort,1891,83670.0
FR104,Essonne,1891,151734.0
FR105,Hauts-de-Seine,1891,332076.0
FR106,Seine-Saint-Denis,1891,230992.0
FR107,Val-de-Marne,1891,213706.0
FR108,Val-dOise,1891,143387.0
FRY10,Guadeloupe,1891,
FRY20,Martinique,1891,
FRY30,Guyane,1891,
FRY40,La Réunion,1891,
FRK21,Ain,1896,345516.0
FRE21,Aisne,1896,541058.0
FRK11,Allier,1896,424378.0
FRL01,Alpes-de-Haute-Provence,1896,118142.0
FRL02,Hautes-Alpes,1896,113229.0
FRL03,Alpes-Maritimes,1896,268963.0
FRK22,Ardèche,1896,363501.0
FRF21,Ardennes,1896,318865.0
FRJ21,Ariège,1896,219641.0
FRF22,Aube,1896,251435.0
FRJ11,Aude,1896,310513.0
FRJ22,Aveyron,1896,389464.0
FRL04,Bouches-du-Rhône,1896,673819.0
FRD11,Calvados,1896,416090.0
FRK12,Cantal,1896,234382.0
FRI31,Charente,1896,356236.0
FRI32,Charente-Maritime,1896,453455.0
FRB01,Cher,1896,347725.0
FRI21,Corrèze,1896,322309.0
FRC11,Côte-dOr,1896,368168.0
FRH01,Côtes-dArmor,1896,616197.0
FRI22,Creuse,1896,279366.0
FRI11,Dordogne,1896,464822.0
FRC21,Doubs,1896,302143.0
FRK23,Drôme,1896,303491.0
FRD21,Eure,1896,340652.0
FRB02,Eure-et-Loir,1896,280226.0
FRH02,Finistère,1896,739648.0
FRM01,Corse-du-Sud,1896,
FRM02,Haute-Corse,1896,
FRJ12,Gard,1896,416035.0
FRJ23,Haute-Garonne,1896,459377.0
FRJ24,Gers,1896,250472.0
FRI12,Gironde,1896,809902.0
FRJ13,Hérault,1896,469674.0
FRH03,Ille-et-Vilaine,1896,622039.0
FRB03,Indre,1896,289207.0
FRB04,Indre-et-Loire,1896,337064.0
FRK24,Isère,1896,542920.0
FRC22,Jura,1896,266046.0
FRI13,Landes,1896,292884.0
FRB05,Loir-et-Cher,1896,278153.0
FRK25,Loire,1896,625336.0
FRK13,Haute-Loire,1896,316699.0
FRG01,Loire-Atlantique,1896,647398.0
FRB06,Loiret,1896,371019.0
FRJ25,Lot,1896,240403.0
FRI14,Lot-et-Garonne,1896,286377.0
FRJ14,Lozère,1896,132151.0
FRG02,Maine-et-Loire,1896,514406.0
FRD12,Manche,1896,501153.0
FRF23,Marne,1896,439442.0
FRF24,Haute-Marne,1896,231898.0
FRG03,Mayenne,1896,321187.0
FRF31,Meurthe-et-Moselle,1896,466654.0
FRF32,Meuse,1896,290147.0
FRH04,Morbihan,1896,552028.0
FRF33,Moselle,1896,524879.0
FRC12,Nièvre,1896,333899.0
FRE11,Nord,1896,1812312.0
FRE22,Oise,1896,404511.0
FRD13,Orne,1896,339147.0
FRE12,Pas-de-Calais,1896,907370.0
FRK14,Puy-de-Dôme,1896,555078.0
FRI15,Pyrénées-Atlantiques,1896,423572.0
FRJ26,Hautes-Pyrénées,1896,218973.0
FRJ15,Pyrénées-Orientales,1896,208387.0
FRF11,Bas-Rhin,1896,638609.0
FRF12,Haut-Rhin,1896,477477.0
FRK26,Rhône,1896,870396.0
FRC23,Haute-Saône,1896,273296.0
FRC13,Saône-et-Loire,1896,621236.0
FRG04,Sarthe,1896,425077.0
FRK27,Savoie,1896,259790.0
FRK28,Haute-Savoie,1896,265872.0
FR101,Paris,1896,2536834.0
FRD22,Seine-Maritime,1896,837824.0
FR102,Seine-et-Marne,1896,359034.0
FR103,Yvelines,1896,263462.0
FRI33,Deux-Sèvres,1896,345932.0
FRE23,Somme,1896,542158.0
FRJ27,Tarn,1896,339369.0
FRJ28,Tarn-et-Garonne,1896,200390.0
FRL05,Var,1896,309191.0
FRL06,Vaucluse,1896,236313.0
FRG05,Vendée,1896,441735.0
FRI34,Vienne,1896,338114.0
FRI23,Haute-Vienne,1896,375724.0
FRF34,Vosges,1896,421412.0
FRC14,Yonne,1896,332656.0
FRC24,Territoire de Belfort,1896,88047.0
FR104,Essonne,1896,159506.0
FR105,Hauts-de-Seine,1896,386737.0
FR106,Seine-Saint-Denis,1896,262735.0
FR107,Val-de-Marne,1896,246351.0
FR108,Val-dOise,1896,154118.0
FRY10,Guadeloupe,1896,
FRY20,Martinique,1896,
FRY30,Guyane,1896,
FRY40,La Réunion,1896,
FRK21,Ain,1901,343179.0
FRE21,Aisne,1901,535088.0
FRK11,Allier,1901,422024.0
FRL01,Alpes-de-Haute-Provence,1901,115021.0
FRL02,Hautes-Alpes,1901,109510.0
FRL03,Alpes-Maritimes,1901,297562.0
FRK22,Ardèche,1901,353564.0
FRF21,Ardennes,1901,315589.0
FRJ21,Ariège,1901,210527.0
FRF22,Aube,1901,246163.0
FRJ11,Aude,1901,313531.0
FRJ22,Aveyron,1901,382074.0
FRL04,Bouches-du-Rhône,1901,734347.0
FRD11,Calvados,1901,409125.0
FRK12,Cantal,1901,230511.0
FRI31,Charente,1901,350305.0
FRI32,Charente-Maritime,1901,452149.0
FRB01,Cher,1901,345543.0
FRI21,Corrèze,1901,318329.0
FRC11,Côte-dOr,1901,361626.0
FRH01,Côtes-dArmor,1901,609349.0
FRI22,Creuse,1901,277785.0
FRI11,Dordogne,1901,452951.0
FRC21,Doubs,1901,298973.0
FRK23,Drôme,1901,297321.0
FRD21,Eure,1901,334781.0
FRB02,Eure-et-Loir,1901,275194.0
FRH02,Finistère,1901,773015.0
FRM01,Corse-du-Sud,1901,
FRM02,Haute-Corse,1901,
FRJ12,Gard,1901,420835.0
FRJ23,Haute-Garonne,1901,448481.0
FRJ24,Gers,1901,238448.0
FRI12,Gironde,1901,821131.0
FRJ13,Hérault,1901,489077.0
FRH03,Ille-et-Vilaine,1901,613567.0
FRB03,Indre,1901,288788.0
FRB04,Indre-et-Loire,1901,335541.0
FRK24,Isère,1901,544254.0
FRC22,Jura,1901,261179.0
FRI13,Landes,1901,291586.0
FRB05,Loir-et-Cher,1901,275538.0
FRK25,Loire,1901,647634.0
FRK13,Haute-Loire,1901,314058.0
FRG01,Loire-Atlantique,1901,666165.0
FRB06,Loiret,1901,366660.0
FRJ25,Lot,1901,226720.0
FRI14,Lot-et-Garonne,1901,278740.0
FRJ14,Lozère,1901,128866.0
FRG02,Maine-et-Loire,1901,514242.0
FRD12,Manche,1901,492440.0
FRF23,Marne,1901,432755.0
FRF24,Haute-Marne,1901,226367.0
FRG03,Mayenne,1901,313103.0
FRF31,Meurthe-et-Moselle,1901,484934.0
FRF32,Meuse,1901,283268.0
FRH04,Morbihan,1901,563468.0
FRF33,Moselle,1901,565163.0
FRC12,Nièvre,1901,323783.0
FRE11,Nord,1901,1867408.0
FRE22,Oise,1901,407808.0
FRD13,Orne,1901,326937.0
FRE12,Pas-de-Calais,1901,956466.0
FRK14,Puy-de-Dôme,1901,544194.0
FRI15,Pyrénées-Atlantiques,1901,426347.0
FRJ26,Hautes-Pyrénées,1901,215546.0
FRJ15,Pyrénées-Orientales,1901,212121.0
FRF11,Bas-Rhin,1901,659432.0
FRF12,Haut-Rhin,1901,495209.0
FRK26,Rhône,1901,874855.0
FRC23,Haute-Saône,1901,266991.0
FRC13,Saône-et-Loire,1901,620360.0
FRG04,Sarthe,1901,422699.0
FRK27,Savoie,1901,254781.0
FRK28,Haute-Savoie,1901,263803.0
FR101,Paris,1901,2714068.0
FRD22,Seine-Maritime,1901,853883.0
FR102,Seine-et-Marne,1901,358325.0
FR103,Yvelines,1901,270228.0
FRI33,Deux-Sèvres,1901,341696.0
FRE23,Somme,1901,536773.0
FRJ27,Tarn,1901,332093.0
FRJ28,Tarn-et-Garonne,1901,195669.0
FRL05,Var,1901,326385.0
FRL06,Vaucluse,1901,236949.0
FRG05,Vendée,1901,441311.0
FRI34,Vienne,1901,336343.0
FRI23,Haute-Vienne,1901,381853.0
FRF34,Vosges,1901,421101.0
FRC14,Yonne,1901,321062.0
FRC24,Territoire de Belfort,1901,92304.0
FR104,Essonne,1901,164625.0
FR105,Hauts-de-Seine,1901,467391.0
FR106,Seine-Saint-Denis,1901,307329.0
FR107,Val-de-Marne,1901,288879.0
FR108,Val-dOise,1901,164962.0
FRY10,Guadeloupe,1901,
FRY20,Martinique,1901,
FRY30,Guyane,1901,
FRY40,La Réunion,1901,
FRK21,Ain,1906,338686.0
FRE21,Aisne,1906,534021.0
FRK11,Allier,1906,417961.0
FRL01,Alpes-de-Haute-Provence,1906,113126.0
FRL02,Hautes-Alpes,1906,107498.0
FRL03,Alpes-Maritimes,1906,339406.0
FRK22,Ardèche,1906,347140.0
FRF21,Ardennes,1906,317505.0
FRJ21,Ariège,1906,205684.0
FRF22,Aube,1906,243670.0
FRJ11,Aude,1906,308327.0
FRJ22,Aveyron,1906,377299.0
FRL04,Bouches-du-Rhône,1906,765918.0
FRD11,Calvados,1906,402434.0
FRK12,Cantal,1906,228690.0
FRI31,Charente,1906,351733.0
FRI32,Charente-Maritime,1906,453793.0
FRB01,Cher,1906,343484.0
FRI21,Corrèze,1906,317430.0
FRC11,Côte-dOr,1906,357959.0
FRH01,Côtes-dArmor,1906,611506.0
FRI22,Creuse,1906,274109.0
FRI11,Dordogne,1906,447052.0
FRC21,Doubs,1906,298537.0
FRK23,Drôme,1906,297270.0
FRD21,Eure,1906,330140.0
FRB02,Eure-et-Loir,1906,273584.0
FRH02,Finistère,1906,795103.0
FRM01,Corse-du-Sud,1906,
FRM02,Haute-Corse,1906,
FRJ12,Gard,1906,421166.0
FRJ23,Haute-Garonne,1906,442065.0
FRJ24,Gers,1906,231088.0
FRI12,Gironde,1906,823925.0
FRJ13,Hérault,1906,482779.0
FRH03,Ille-et-Vilaine,1906,611902.0
FRB03,Indre,1906,290216.0
FRB04,Indre-et-Loire,1906,337916.0
FRK24,Isère,1906,538309.0
FRC22,Jura,1906,257626.0
FRI13,Landes,1906,293397.0
FRB05,Loir-et-Cher,1906,276019.0
FRK25,Loire,1906,643943.0
FRK13,Haute-Loire,1906,314770.0
FRG01,Loire-Atlantique,1906,667941.0
FRB06,Loiret,1906,364999.0
FRJ25,Lot,1906,216611.0
